-62.125, -16.935, 100
-60.125, -16.935, 100
-58.125, -16.935, 100
-56.125, -16.935, 100
-54.125, -16.935, 100
-52.125, -16.935, 100
-50.125, -16.935, 100
-48.125, -16.935, 100
-46.381, -17.189, 100
-46.396, -19.189, 100
-46.411, -21.189, 100
-46.425, -23.189, 100
-46.44, -25.189, 100
-46.455, -27.189, 100
-46.47, -29.189, 100
-46.485, -31.189, 100
-46.5, -33.189, 100
-46.515, -35.188, 100
-46.53, -37.188, 100
-46.544, -39.188, 100
-46.559, -41.188, 100
-46.574, -43.188, 100
-46.589, -45.188, 100
-46.855, -46.935, 100
-48.855, -46.935, 100
-50.855, -46.935, 100
-52.855, -46.935, 100
-54.855, -46.935, 100
-56.855, -46.935, 100
-58.855, -46.935, 100
-59.395, -46.935, 100
-57.395, -46.935, 100
-55.395, -46.935, 100
-53.487, -47.027, 100
-53.487, -49.027, 100
-53.487, -51.027, 100
-53.487, -53.027, 100
-53.487, -55.027, 100
-53.487, -57.027, 100
-53.487, -59.027, 100
-53.487, -61.027, 100
-51.622, -61.162, 100
-49.622, -61.162, 100
-47.622, -61.162, 100
-45.622, -61.162, 100
-43.622, -61.162, 100
-41.622, -61.162, 100
-39.622, -61.162, 100
-37.622, -61.162, 100
-35.622, -61.162, 100
-33.622, -61.162, 100
-31.622, -61.162, 100
-29.622, -61.162, 100
-27.622, -61.162, 100
-25.622, -61.162, 100
-23.622, -61.162, 100
-21.622, -61.162, 100
-19.622, -61.162, 100
-17.622, -61.162, 100
-15.622, -61.162, 100
-13.622, -61.162, 100
-11.622, -61.162, 100
-9.622, -61.162, 100
-7.622, -61.162, 100
-5.622, -61.162, 100
-3.622, -61.162, 100
-1.622, -61.162, 100
0.378, -61.162, 100
2.378, -61.162, 100
4.378, -61.162, 100
6.378, -61.162, 100
8.378, -61.162, 100
10.378, -61.162, 100
12.378, -61.162, 100
14.378, -61.162, 100
16.378, -61.162, 100
18.378, -61.162, 100
20.378, -61.162, 100
22.378, -61.162, 100
24.378, -61.162, 100
26.378, -61.162, 100
28.378, -61.162, 100
30.378, -61.162, 100
32.378, -61.162, 100
34.247, -61.031, 100
34.247, -59.031, 100
34.247, -57.031, 100
34.247, -55.031, 100
34.247, -53.031, 100
34.247, -51.031, 100
34.247, -49.031, 100
34.247, -47.031, 100
32.343, -46.935, 100
30.343, -46.935, 100
31.907, -46.935, 100
33.907, -46.935, 100
35.907, -46.935, 100
37.907, -46.935, 100
39.907, -46.935, 100
41.907, -46.935, 100
43.907, -46.935, 100
45.907, -46.935, 100
47.907, -46.935, 100
49.907, -46.935, 100
51.907, -46.935, 100
53.907, -46.935, 100
55.907, -46.935, 100
57.907, -46.935, 100
59.907, -46.935, 100
58.343, -46.935, 100
56.343, -46.935, 100
54.343, -46.935, 100
52.343, -46.935, 100
50.343, -46.935, 100
48.343, -46.935, 100
46.343, -46.935, 100
44.343, -46.935, 100
42.343, -46.935, 100
40.343, -46.935, 100
38.343, -46.935, 100
36.343, -46.935, 100
34.343, -46.935, 100
32.343, -46.935, 100
30.343, -46.935, 100
31.907, -46.935, 100
33.907, -46.935, 100
33.559, -45.424, 100
32.73, -43.604, 100
31.901, -41.784, 100
31.072, -39.964, 100
30.243, -38.144, 100
29.414, -36.324, 100
28.585, -34.504, 100
27.74, -32.691, 100
26.893, -30.879, 100
26.045, -29.068, 100
25.197, -27.256, 100
24.349, -25.445, 100
23.398, -23.929, 100
21.605, -24.816, 100
19.812, -25.702, 100
18.02, -26.589, 100
16.227, -27.475, 100
14.434, -28.362, 100
12.641, -29.249, 100
10.849, -30.135, 100
9.056, -31.022, 100
7.263, -31.908, 100
5.47, -32.795, 100
3.678, -33.681, 100
1.885, -34.568, 100
0.092, -35.454, 100
0, -37.397, 100
0, -39.397, 100
0, -41.397, 100
0, -43.397, 100
0, -42.603, 100
0, -40.603, 100
0, -38.603, 100
0, -36.603, 100
-0.802, -35.098, 100
-2.59, -34.202, 100
-4.378, -33.305, 100
-6.166, -32.409, 100
-7.954, -31.513, 100
-9.742, -30.617, 100
-11.53, -29.72, 100
-13.318, -28.825, 100
-15.117, -27.951, 100
-16.916, -27.077, 100
-18.715, -26.203, 100
-20.514, -25.329, 100
-22.313, -24.455, 100
-23.593, -23.258, 100
-23.588, -21.258, 100
-23.583, -19.258, 100
-23.577, -17.258, 100
-23.572, -15.258, 100
-23.567, -13.258, 100
-23.561, -11.258, 100
-23.556, -9.258, 100
-23.55, -7.258, 100
-23.545, -5.258, 100
-23.54, -3.258, 100
-23.534, -1.258, 100
-23.529, 0.742, 100
-23.524, 2.742, 100
-23.518, 4.742, 100
-23.513, 6.742, 100
-23.507, 8.742, 100
-23.502, 10.742, 100
-23.514, 12.742, 100
-23.529, 14.742, 100
-23.543, 16.742, 100
-23.558, 18.742, 100
-23.572, 20.742, 100
-23.587, 22.742, 100
-22.952, 23.189, 100
-21.537, 21.774, 100
-20.123, 20.36, 100
-18.709, 18.946, 100
-17.295, 17.532, 100
-15.88, 16.117, 100
-14.466, 14.703, 100
-13.052, 13.289, 100
-12.712, 12.845, 100
-14.263, 14.107, 100
-15.815, 15.37, 100
-17.366, 16.632, 100
